# concept	prose pattern	identifier pattern	landmarks (curated)	search alias
function extensionality	function(al)? extensionality	funext|FunExt|Fun-Ext|dfunext	funext, Fun-Ext, dfunext
continuous dcpo	continuous (dcpo|domain)|structurally continuous	continuous-dcpo|structurally-continuous	is-continuous-dcpo, is-pseudocontinuous-dcpo, is-continuous-dcpo-if-algebraic-dcpo
basis of a dcpo	small basis|basis of a	small-basis|has-basis|is-a-basis	is-small-basis, has-specified-small-basis, has-basis
sublocale	sublocale	nucleus|_≼_	is-nucleus, is-prenucleus, _≼_
squashed sum	squashed (sum|cantor)	Σ¹|∑¹	Σ¹, ∑¹, Σ¹-compact∙
modular group	modular group	PSL2Z	PSL2Z, PSL2Z-ind, PSL2Z-gen-iter
finiteness	finite type|notions? of finiteness	is-finite|finiteness	is-finite, is-finite', is-finite-up
Church encoding	church encod	church-encode|church-decode|^O-rec$	church-encode, church-decode, O-rec
injective type	injectiv	^(?!.*(injective-over|injective-hom|injective-identification|embedding-injective|succ-order-injective)).*injectiv	ainjective-type, injective-type, ainjective-gives-injective, injective-gives-∥ainjective∥
conatural numbers	conatural|ℕ∞	ℕ∞|conatural	ℕ∞, ℕ∞-to-ℕ→𝟚, ℕ∞'
left cancellable	left cancellable	left-cancellable	left-cancellable
induction principle	induction principle	-induction$|induction-principle	ℕ-induction, 𝟘-induction, transfinite-induction
equivalence relation	equivalence relation	equiv-rel|is-equiv-relation|EqRel	EqRel, is-equiv-relation, equiv-rel
well order	well order	well-order	is-well-order, is-well-ordered
canonical map	canonical map	^canonical-map|^[Ii]dtofun	canonical-map, Idtofun, idtofun
powerset	powerset	^𝓟	𝓟
Yoneda lemma	yoneda	[Yy]oneda	yoneda-lemma, yoneda-nat, yoneda-elem
reflexive graph	reflexive graph	reflexive-graph	codiscrete-reflexive-graph, constant-displayed-reflexive-graph
modality	modal	is-modal|modality|^○	is-modal, ○, ○-rec
split support	split support	split-support	has-split-support
total space	total space	total-space	total-spaceᵒʳᵈ
bounded complete	bounded complete	bounded-complete	bounded-complete
principal ideal	principal ideal	principal-ideal	principal-ideal
transfinite recursion	transfinite recursion	transfinite-recursion	transfinite-recursion-on-OO
univalent universe	univalent universe	^is-univalent	is-univalent
simple type	simple type	^simple-type	simple-type, simple-type₂
displayed graph	displayed graph|displayed reflexive graph	^displayed	displayed-edge-rel
least fixed point	least fixed point	^lfp|least-fixed-point	lfp, has-least-fixed-point
separated reflection	separated reflection	separated-reflection	totally-separated-reflection
slice category	slice	^[Cc]oslice|^[Ss]lice	Coslice, slice
covering family	covering family	^cover|covering	cover-indexₛ, covering-syntax
directed basis	directed basis	directed-basis|is-basis-for|directified	is-basis-for, directed-basisᴰ
Cantor-Schroeder-Bernstein	cantor schroeder bernstein|cantor schröder bernstein|CSB	CSB|Schröder	CSB, Cantor-Schröder-Bernstein, discrete-Cantor-Schröder-Bernstein, CantorSchröderBernstein, CSB-construction-map
double negation shift	double negation shift|negation shift	^DNS|double-negation-shift|∀-shift	DNS₀, J-∀-shift, K-∀-shift
lexicographic order	lexicographic	lexicographic|lex-order|^lex	lex, lex-for-ordinal
strict order	strict order	strict-order	
freely generated	freely generated	freely-generated|^free-	free-group-construction, free-egroup, is-free-𝓛-alg
anonymous existence	anonymous existence	^∃|∃-is-prop|∃\[꞉\]-syntax	∃-is-prop, ∃[꞉]-syntax
trichotomous least element	trichotomous	trichotomous	has-trichotomous-least-element, is-trichotomous
right inverse	right inverse	has-section|is-section|right-inverse	has-section, is-section
left inverse	left inverse	has-retraction|is-retraction|left-inverse	has-retraction, left-inverse
topological topos	topological topos	topological-topos|topos	ℕ∞₂-is-not-totally-separated-in-topological-toposes
computation rule	computation rule	-β$|-compute$|computation-rule	ind-β, ○-rec-compute
large type	large type	^is-large|large-type	is-large, 𝕍-is-large-set
small type	small type	^is-small|small-type	is-small, is-small-basis
topological space	topological space	topological-space|is-topology	generalized-topological-space, ∞-proto-topological-spaces
negation elimination	negation elimination	^DNE|¬¬-elim|double-negation-elim	DNE, ¬¬-elim, DNE-gives-EM
binary product	binary product	^_×_$|binary-product|^×-	_×_, ×-is-prop
classical logic	classical logic	^classical|is-classical	is-classical-well-order
binary relation	binary relation	binary-relation|is-prop-valued-rel|EqRel	is-prop-valued-rel, EqRel
fundamental theorem	fundamental theorem	^fundamental	fundamental-theorem-of-transport
list	empty list|list of	^List$|^_∷_$|^\[\]$|-list$	List, _∷_
positive element	positive element	(?<!contra)positive	positive-not-zero, is-positive
unique existence	unique existence	∃!|unique-existence	∃!, ∃!-is-witness
decreasing list	decreasing list	^is-decreasing|decreasing-list	is-decreasing, is-decreasing-pr₂
pointwise equality	pointwise equal	^_∼_$|^∼-|pointwise-equal	_∼_, ∼-refl, ∼-trans
constant map	constant function|constant map	^is-constant|^wconstant	wconstant, wconstant-endomap
discrete	discrete	discrete	is-discrete, discrete-types-are-sets, is-discrete'
history dependent	history dependent	optimal-outcome|strategic-path|^Game$|^GameJ$	Game, optimal-outcome, strategic-path
type tree	type tree	^𝑻|type-tree|^Path$	𝑻, 𝑻-induction, Path
